Banco BPM - Lista movimenti
Conto corrente;IT00X0503401633000000000000;;
Periodo;01/02/2026 - 28/02/2026;;
Data contabile;Descrizione;Importo;Categoria
09/02/2026;BONIFICO A VOSTRO FAVORE PATERLINI MARIO / GONZALEZ CHRISTINE-MA FATTURA 2/2026;100.000,00;
02/02/2026;BONIFICO A VOSTRO FAVORE DAVIDZON VALERY FATTURA 003/2026;52.500,00;
05/02/2026;PAGAMENTO F24 AGENZIA ENTRATE IVA TRIMESTRALE;-12.480,50;
06/02/2026;COMMISSIONI E SPESE TENUTA CONTO;-24,90;
06/02/2026;ADDEBITO PIXARTPRINTING SPA STAMPA BROCHURE;-1.240,00;
10/02/2026;BONIFICO STUDIO NOTARILE MILANO NOTAI ACCONTO;-8.000,00;
10/02/2026;SEPA DD ACME LOGISTICA SRL RIF 887766;-3.150,00;
11/02/2026;ADDEBITO ADOBE SYSTEMS ABBONAMENTO CREATIVE CLOUD;-79,99;
